Вопрос;Эталонный ответ преподавателя;Ответ студента;Оценка
Что такое consumer groups;Consumer group — это группа потребителей, которые совместно обрабатывают сообщения из топика. Каждое сообщение доставляется только одному потребителю в группе.;Consumer groups в Kafka обеспечивают механизм горизонтального масштабирования обработки сообщений: консьюмеры в группе координируют распределение партиций между собой, гарантируя, что каждая партиция потребляется только одним консьюмером группы, что позволяет достичь балансировки нагрузки и отказоустойчивости.;5
Какие проблемы возникают при использовании data warehouses?;Data warehouses помогает компаниям анализировать пользовательское поведение, выявлять закономерности и строить точные модели. Применяется в цифровых сервисах, рекламе и смарт?системах.;Data warehouses используется бизнесом для оптимизации процессов, анализа клиентов и прогнозирования.;4
Данные, информация, знания – в чем отличия?;Данные — это необработанные факты и измерения. Информация — это данные, прошедшие интерпретацию. Знания — это результат анализа информации, ведущий к принятию решений. Пример: данные — цифры продаж, информация — динамика продаж, знание — вывод о сезонности спроса.;Данные — это информация, а знания — результат размышлений.;3
Data Mining vs. Machine Learning — в чём отличия?;Data Mining фокусируется на обнаружении паттернов в существующих данных, тогда как Machine Learning ориентирован на построение моделей для прогнозирования на новых данных;Data Mining фокусируется на паттернах, Machine Learning на прогнозных моделях;5
Какие навыки необходимы специалисту для работы с нейронные сети?;Нейронные сети используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Используется для прогнозов и анализа информации.;3
Какие особенности архитектуры потоковой обработки данных?;Архитектура потоковой обработки включает ingestion слои (Kafka), processing (Spark Streaming, Flink) и sink слои для хранения, обеспечивая обработку в реальном времени;Компоненты для работы с потоковыми данными;3
Что такое 'регуляризация' в машинном обучении?;"Регуляризация — это метод уменьшения переобучения за счёт добавления штрафов к функции потерь.,""Регуляризация снижает переобучение";добавляя штрафы за сложные модели.;5
Какие компании активно используют большие данные и зачем?;Большие данные помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Большие данные применяется в бизнесе и иногда в науке для анализа данных.;3
Где применяется NLP в промышленности и бизнесе?;Nlp применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;4
Зачем нужна мера близости в кластеризации? Достоинства графовых алгоритмов;Мера близости определяет схожесть объектов для группировки. Графовые алгоритмы эффективны для работы с разреженными данными и выявления сложных структур;Мера близости определяет схожесть объектов, графовые алгоритмы эффективны для сложных данных;5
«Меры изменчивости»: что к ним относится?;К мерам изменчивости относятся дисперсия, стандартное отклонение, размах, межквартильный размах и среднее абсолютное отклонение;Дисперсия, стандартное отклонение, размах как меры изменчивости;3
Что такое Apache Arrow?;Формат in-memory для колоночного хранения данных с нулевой сериализацией для ускорения анализа.;Формат для быстрой работы с данными.;2
Boxplot и его интерпретация, связь с другими элементами анализа;Boxplot визуализирует распределение данных через медиану, квартили и выбросы, тесно связан с описательной статистикой и используется для сравнения распределений и выявления аномалий в наборах данных;Диаграмма для отображения ключевых характеристик распределения и сравнения различных групп данных между собой;3
Что такое точность (accuracy) в машинном обучении?;Точность — это метрика, определяющая долю правильных предсказаний от общего числа наблюдений: Accuracy = (TP + TN) / (TP + TN + FP + FN).;Точность — это доля правильных ответов от общего количества предсказаний.;4
Что такое schema evolution в Big Data?;Возможность изменения схемы данных без потери совместимости с существующими данными;Изменение схемы данных с поддержкой обратной совместимости;4
Метрики качества для моделей регрессии;Основные метрики включают RMSE, MAE, MAPE и R? для оценки точности регрессионных моделей и их предсказательной способности;Метрики для оценки ошибок предсказания и объясняющей способности регрессии;5
Как проектировать систему для обработки геопространственных данных в реальном времени?;Использовать специализированные БД (PostGIS), пространственные индексы (R-tree, Quad-tree), распределенные системы для масштабирования, streaming frameworks для real-time обработки.;Гео-ориентированные базы данных, пространственные индексы, распределенная обработка и потоковые системы. Учитывать требования к spatial queries и реальному времени.;4
Стандарты жизненного цикла Big Data: CRISP?DM;CRISP-DM включает этапы бизнес-понимания, понимания данных, подготовки, моделирования, оценки и внедрения;Этапы CRISP-DM для анализа данных;3
Что означает 'Batch Normalization'?;Batch Normalization — это техника нормализации входов слоёв нейросети, ускоряющая обучение и повышающая стабильность.;Batch Normalization нормализует данные в нейронных сетях для ускорения обучения.;5
Как выполняется преобразование данных и зачем нужна их очистка?;Преобразование включает нормализацию, агрегацию, обогащение. Очистка нужна для удаления шума, исправления ошибок, обработки пропусков для повышения качества моделей.;Преобразование - изменение формата и структуры данных. Очистка устраняет ошибки и пропуски для лучшего качества анализа.;4
Какие основные характеристики и вызовы больших данных (4V, 8V)?;4V: Volume (объем), Velocity (скорость), Variety (разнообразие), Veracity (достоверность). 8V добавляют: Value, Variability, Visualization, Validity.;Основные 4V: объем, скорость, разнообразие, достоверность. Расширенные 8V включают ценность, изменчивость, визуализацию, валидность. Это определяет сложности обработки.;5
Свойства эластичности и надежности сложных сетей.;Эластичность описывает способность сети сохранять функции при удалении вершин, надежность — устойчивость к отказам и атакам. Безмасштабные сети устойчивы к случайным сбоям, но уязвимы к целевым атакам.;Надежность — это устойчивость сети, эластичность — ее гибкость.;2
Метрики качества для моделей регрессии;Основные метрики включают RMSE, MAE, MAPE и R? для оценки точности регрессионных моделей и их предсказательной способности;Метрики ошибок и коэффициенты для оценки регрессионных моделей;3
В чем сходства и различия векторов, матриц, фреймов и факторов в R?;Векторы и матрицы - гомогенные данные, фреймы - гетерогенные по колонкам. Факторы - категориальные с уровнями. Все поддерживают индексацию, но разную обработку.;Разные структуры для разных целей. Векторы и матрицы для чисел, фреймы для таблиц, факторы для категорий.;3
Виды столбчатых диаграмм и их интерпретация;Столбчатые диаграммы включают вертикальные, горизонтальные, сгруппированные и составные типы, которые интерпретируются через сравнение высот столбцов для анализа категориальных данных;Основные типы столбчатых диаграмм: вертикальные, горизонтальные, сгруппированные;4
Какие методы использовать для detection data drift в production ML systems?;Statistical tests (KS, PSI), monitoring prediction distributions, concept drift detection algorithms, feature distribution monitoring, performance metrics tracking.;Детектирование дрейфа данных в production.;2
Какие компании активно используют ETL-процессы и зачем?;Etl-процессы помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Помогает работать с данными и строить модели.;3
Как проектировать систему для обработки данных IoT устройств с высокой частотой обновления?;Использовать потоковые платформы (Kafka, Flink), колоночные форматы хранения, сжатие данных, агрегацию на edge устройствах, мониторинг пропускной способности и задержек.;Системы реального времени, эффективное хранение, предобработка данных на устройствах для снижения нагрузки.;3
Разница описательных и предсказательных задач;Описательные анализируют текущие данные, предсказательные строят прогнозы на будущее;Анализ прошлого и предсказание будущего;2
В чем разница между данными, информацией и знаниями?;Данные - сырые факты, информация - обработанные данные с контекстом, знания - информация + понимание и опыт для принятия решений.;Разные уровни обработки и использования сведений.;2
Какие типы данных существуют в языке R?;Numeric, integer, character, logical, complex. Специальные: NA для пропусков, NULL, factors для категориальных данных. Векторы базовых типов.;Числовые, текстовые, логические, факторы. Специальные значения для пропусков и нечисловых данных.;4
Какие методы feature selection используются в машинном обучении?;Методы отбора признаков включают фильтры (correlation), встроенные методы (L1-регуляризация) и методы-обертки (recursive feature elimination);Фильтры, встроенные методы и обертки для выбора фич;3
Перечислите основные метрики больших графов.;Основные метрики: степень вершины (degree), средняя длина пути (L), кластерный коэффициент (C), центральность по посредничеству (betweenness), собственная центральность (eigenvector), плотность графа и диаметр.;Метрики включают степень и диаметр графа.;4
Почему технологии системы логирования стали критически важны?;Системы логирования используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Системы логирования применяется в некоторых компаниях для анализа данных.;3
Что такое переобучение модели?;Переобучение — это ситуация, когда модель слишком точно подстраивается под обучающие данные и теряет способность обобщать закономерности. Основные признаки — высокая точность на обучающей выборке и низкая на тестовой.;Переобучение — это когда модель слишком точно запоминает обучающие данные и плохо работает на новых.;5
Характерные черты безмасштабных сетей;Безмасштабные сети имеют степенное распределение степеней узлов, содержат хабы и демонстрируют устойчивость к случайным отказам но уязвимы к целевым атакам;Сети с определенными свойствами распределения связей между узлами;2
Что такое data skew в распределенных системах?;Неравномерное распределение данных или нагрузки между узлами кластера;Проблема когда данные или нагрузка неравномерно распределены между узлами, что приводит к медленным узлам;5
Принципы глубокого обучения в нейросетях;Глубокое обучение использует многослойные нейронные сети для автоматического извлечения признаков из данных, CNN специализируются на обработке изображений с помощью сверточных слоев;Многослойные сети учатся распознавать сложные паттерны в информации;3
Примеры задач с большими графами;Большие графы применяются для анализа социальных сетей (обнаружение сообществ, измерение влияния), в рекомендательных системах (коллаборативная фильтрация), биоинформатике (изучение взаимодействий белков) и веб-аналитике (ранжирование страниц);Социальный сетевой анализ, персональные рекомендации и исследования в биоинформатике представляют ключевые направления использования больших графовых моделей;5
Как оптимизировать memory usage в Spark при работе с wide transformations?;Увеличение памяти исполнителей, использование off-heap memory, оптимизация serialization, уменьшение размера данных перед shuffling, использование broadcast variables.;Методы уменьшения использования памяти при wide transformations в Spark.;3
Что такое ELT процесс?;Процесс загрузки данных перед их преобразованием в целевой системе.;Подход к обработке данных, при котором данные извлекаются из источников, загружаются в целевую систему без преобразований, а затем трансформируются уже внутри этой системы.;4
Какие реальные примеры использования in-memory обработка существуют?;Технологии in-memory обработка позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;In-memory обработка обеспечивает анализ потоковых данных, улучшает прогнозирование, помогает автоматизировать процессы и повышает точность аналитических моделей.;5
Зачем нужна мера близости в кластеризации? Достоинства графовых алгоритмов;Мера близости определяет схожесть объектов для группировки. Графовые алгоритмы эффективны для работы с разреженными данными и выявления сложных структур;Меры близости определяют схожесть, графовые алгоритмы для сложных структур;4
Как распределённые вычисления влияет на эффективность бизнеса?;Распределённые вычисления используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Распределённые вычисления используется для обработки информации и улучшения решений.;3
Что такое data warehouse?;Централизованное хранилище интегрированных данных из различных источников, оптимизированное для анализа и отчетности, с поддержкой исторических данных и структурированной схемой.;Большая база данных для бизнес-аналитики.;2
Что такое Apache Cassandra?;Распределенная NoSQL база данных с высокой доступностью и масштабируемостью, использующая модель column-family.;База данных для больших объемов информации.;2
Сравнительный анализ алгоритмов кластеризации;Алгоритмы кластеризации сравниваются по масштабируемости, чувствительности к шуму, способности находить кластеры сложной формы и вычислительной сложности;Сравнение разных методов группировки данных по их свойствам;2
Как машинное обучение помогает в анализе больших объемов данных?;Машинное обучение применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.;5
Назовите меры центральной тенденции;Среднее арифметическое, медиана и мода - основные меры центра распределения данных;Среднее арифметическое, медиана и мода характеризуют центр распределения;4
Каковы факторы, влияющие на коэффициент корреляции?;Коэффициент корреляции зависит от линейности данных, наличия выбросов, дисперсии, размера выборки и точности измерений.;На корреляцию влияет погрешность, размер выборки и форма графика.;2
Как организовать мониторинг производительности распределенных data processing jobs?;Metrics collection (throughput, latency, resource usage), distributed tracing, alerting on anomalies, dashboard visualization, correlation с business metrics.;Мониторинг метрик, tracing, алерты, дашборды. Отслеживание производительности распределенных задач.;4
Как big data применяется в современных компаниях?;Технологии big data позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Технологии big data позволяют компаниям обрабатывать большие объёмы разнородных данных, выявлять сложные закономерности и принимать обоснованные решения.;5
Какие проблемы возникают при использовании ETL-пайплайны?;Технологии ETL-пайплайны позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.;Технологии ETL-пайплайны позволяют компаниям обрабатывать большие объёмы разнородных данных, выявлять сложные закономерности и принимать обоснованные решения.;5
Что такое PostgreSQL?;Реляционная СУБД с открытым исходным кодом, поддерживающая расширенные типы данных и SQL стандарты.;Реляционная база данных с открытым исходным кодом. Альтернатива коммерческим СУБД с хорошей функциональностью.;3
Способы графического представления данных;Гистограммы, диаграммы рассеяния, box plots, линейные графики. Выбор зависит от типа данных и цели;Гистограммы (распределение), диаграммы рассеяния (корреляция), box plots (статистики), линейные графики (динамика). Выбор по типу данных;4
Как работает механизм Adaptive Query Execution в Spark 3.0 и какие проблемы он решает?;AQE динамически переоптимизирует план запроса во время выполнения на основе реальной статистики данных. Решает проблемы ошибочных оценок размера данных, неоптимальных join стратегий и партиционирования.;Динамическая оптимизация запросов в Spark 3.0. Решает проблемы с оценкой размера данных и выбором неэффективных join стратегий через перепланирование during выполнения.;4
Как классификация данных применяется для автоматизации рутинных процессов?;Классификация данных применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Классификация данных применяется в бизнесе и иногда в науке для анализа данных.;3
Что такое Neuromorphic Computing и как оно применяется в AI?;Архитектура вычислений имитирующая работу человеческого мозга. Применяется для энергоэффективного AI, real-time обработки сенсорных данных, edge computing.;Нейроморфные вычисления - hardware имитирующий нейроны. Применение: энергоэффективные AI системы, обработка в реальном времени, встроенные AI решения.;4
Что такое 'градиентное исчезновение'?;Градиентное исчезновение — это ситуация, когда градиенты становятся слишком малыми, что замедляет или останавливает обучение нейросети.;Градиентное исчезновение — это уменьшение градиентов, мешающее обучению модели.;5
Какие вы знаете интегральные метрики качества, привести формулы и примеры.;Интегральные метрики: ROC-AUC (площадь под кривой зависимости TPR от FPR), PR-AUC (площадь под кривой Precision-Recall), LogLoss = -1/N * ?[y*log(p) + (1 - y)*log(1 - p)].;ROC-AUC — это площадь под кривой, чем больше, тем лучше.;4
Какие основные инструменты и технологии используются для работы с машинное обучение?;Машинное обучение используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Помогает работать с данными и строить модели.;3
Какие методы использовать для обнаружения concept drift в ML моделей?;Statistical tests (KS test, PSI), monitoring performance metrics, drift detection algorithms (ADWIN, DDM), анализ распределения предсказаний и фактических значений.;Отслеживание статистик данных и метрик модели, использование алгоритмов для обнаружения изменений в данных с течением времени.;3
Что такое статистическая гипотеза;Статистическая гипотеза представляет собой проверяемое предположение о свойствах генеральной совокупности, которое может быть подтверждено или опровергнуто с помощью статистических тестов;Предположение о характеристиках данных которое можно проверить статистическими методами;2
Что такое ZooKeeper в Kafka;ZooKeeper используется для управления метаданными кластера, выбора контроллера, отслеживания живых брокеров и потребителей, хранения конфигурации.;ZooKeeper служит распределенным координатором: хранит метаданные кластера (список брокеров, топиков, партиций), управляет выбором контроллера, отслеживает живые узлы и хранит конфигурации ACL.;4
Что означает 'Batch Normalization'?;Batch Normalization — это техника нормализации входов слоёв нейросети, ускоряющая обучение и повышающая стабильность.;Batch Normalization выравнивает данные для лучшего обучения.;4
Какие навыки необходимы специалисту для работы с рекомендательные системы?;Рекомендательные системы помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.;Позволяет находить закономерности, улучшать точность решений и автоматизировать процессы в разных сферах.;5
Почему организации переходят на технологии мониторинг больших данных?;Мониторинг больших данных используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.;Технологии мониторинг больших данных позволяют компаниям обрабатывать большие объёмы разнородных данных, выявлять сложные закономерности и принимать обоснованные решения.;5
Как обрабатывать выбросы (outliers) в данных перед построением ML модели?;Анализировать природу выбросов: удалять если это ошибки измерения, использовать robust методы если это реальные значения, трансформировать данные, применять алгоритмы устойчивые к выбросам.;Определить являются ли выбросы ошибками или реальными значениями. Удалять если ошибки, иначе использовать устойчивые алгоритмы или методы трансформации. Можно использовать IQR или z-score для detection.;5
Какие этапы включает проект, основанный на использовании модели прогнозирования?;Модели прогнозирования применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.;Модели прогнозирования применяется в финансах, медицине, рекламе и производстве. Используется для анализа данных, построения моделей и прогнозирования.;5
Что такое Apache Beam?;Унифицированная модель для определения пайплайнов обработки данных, работающая с разными рантаймами.;Система для создания потоков обработки данных, которая работает с разными платформами.;3
Обучение с подкреплением и ансамбли — основные разновидности и принципы;Обучение с подкреплением включает Q-learning и политические градиенты, ансамбли используют бэггинг, бустинг и стэкинг для улучшения предсказательной способности моделей;Методы машинного обучения с разными подходами;2
Какие способы визуализации корреляции были изучены в курсе Big Data?;Основные способы: корреляционная матрица, тепловая карта (heatmap), диаграмма рассеяния (scatter plot), графики зависимости и парные диаграммы (pairplot).;Для визуализации корреляции используются корреляционные матрицы с цветовым кодированием (heatmap), диаграммы рассеяния (scatter plot), парные графики (pairplot) и визуализация плотности распределения. Это позволяет быстро выявить силу и направление связей.;5
Как обрабатывать выбросы (outliers) в данных перед построением ML модели?;Анализировать природу выбросов: удалять если это ошибки измерения, использовать robust методы если это реальные значения, трансформировать данные, применять алгоритмы устойчивые к выбросам.;Обнаруживать выбросы и либо удалять их, либо использовать алгоритмы которые к ним устойчивы.;3
Что такое collaborative filtering?;Метод рекомендательных систем, основанный на поведении и предпочтениях пользователей.;Система предложения товаров пользователям интернет-магазинов.;2
Data Mining vs. Machine Learning — в чём отличия?;Data Mining фокусируется на обнаружении паттернов в существующих данных, тогда как Machine Learning ориентирован на построение моделей для прогнозирования на новых данных;Разные подходы к анализу;2
Как понимать «уровень статистической достоверности»?;Это вероятность того, что результат не случайный.;Если результат достоверен, то он подтверждён статистикой.;4
Что такое Data Mesh архитектура и как она решает проблемы централизованных data lakes?;Децентрализованный подход, где данные управляются domain-командами как продукты. Решает проблемы монолитных data lakes: bottlenecks, низкое качество данных, сложность масштабирования.;Data Mesh - архитектура с domain-oriented ownership данных. Каждая команда отвечает за свои data products. Решает проблемы масштабирования и качества данных в централизованных data lakes.;5
Преимущества CNN и их задач;"CNN эффективны для распознавания образов, обнаружения объектов, сегментации; преимущества - локальная связность, параметризация";CNN имеют преимущества для задач компьютерного зрения;5
Что такое Quantum Machine Learning и какие преимущества оно обещает?;Применение квантовых вычислений для ML алгоритмов. Обещает экспоненциальное ускорение для optimization problems, quantum feature spaces, обработки больших данных.;Объединение квантовых вычислений и машинного обучения. Может ускорить определенные типы вычислений и открыть новые возможности для AI.;3
Как организовать A/B тестирование для ML моделей в продакшене?;Canary deployments, постепенный rollout, monitoring ключевых метрик, статистические тесты для значимости, учет network effects и long-term impact.;Тестировать на группе пользователей, сравнивать метрики, использовать статистику для проверки значимости различий.;3
Data Mining vs. Machine Learning — в чём отличия?;Data Mining ориентирован на обнаружение скрытых паттернов и закономерностей в существующих данных, тогда как Machine Learning сосредоточен на построении алгоритмов, способных обучаться и делать прогнозы на новых данных;Два разных подхода к работе с информацией в компьютерных системах;2
Что такое кластеризация и какие задачи оно решает?;Кластеризация используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.;Кластеризация нужно только программистам.;2
